2021-06-21 23:51:31,510 INFO  [commons.g]-[191] Default Domain: Default Domain : 
2021-06-21 23:51:32,554 INFO  [commons.g]-[191] $GlobalData$: GetInt : 
2021-06-21 23:51:33,393 INFO  [commons.g]-[191] $GlobalData$: GetBoolean : 
2021-06-21 23:51:33,410 INFO  [commons.g]-[191] $GlobalData$: GetBoolean : 
2021-06-22 09:31:21,946 INFO  [commons.g]-[191] $GlobalData$: GetBoolean : 
2021-06-22 09:31:21,964 INFO  [commons.g]-[191] $GlobalData$: GetBoolean : 
2021-06-22 09:31:22,112 INFO  [commons.g]-[191] $GlobalData$: GetInt : 
2021-06-23 10:00:59,320 INFO  [commons.g]-[191] $GlobalData$: GetBoolean : 
2021-06-23 10:00:59,334 INFO  [commons.g]-[191] $GlobalData$: GetBoolean : 
2021-06-23 10:00:59,450 INFO  [commons.g]-[191] $GlobalData$: GetInt : 
2021-06-23 10:01:40,312 INFO  [commons.g]-[191] $GlobalData$: GetBoolean : 
2021-06-23 10:01:40,328 INFO  [commons.g]-[191] $GlobalData$: GetBoolean : 
2021-06-23 10:01:40,692 INFO  [commons.g]-[191] $j$: https://rwsazo.reflexisinc.com/RWS4/controller/rws/weekplan/mobile/schedule/authorization/resourcecontrollist.json
2021-06-23 10:01:40,696 INFO  [commons.g]-[197] $j$: error
2021-06-23 10:01:40,829 INFO  [commons.g]-[191] newToken: dw_Kll_cQPKwNPhuXvlf8d:APA91bHUEQcI0PRqv72dnB_H6LI8NJRlJhxtY9gLkyCIoN-8J7M7vXxWwUEw83rloDe3coodl6aWOAF3CUd4pVGy3WwMOdJgl34rBROVQdlceroRsmC_G5gfEgzN7qB1ZmKm3hZDt8NV
2021-06-23 10:01:41,568 INFO  [commons.g]-[191] $j$: Set cookies for json call
2021-06-23 10:01:41,572 INFO  [commons.g]-[191] $j$: Put Cookies in mApplication
2021-06-23 10:01:41,602 INFO  [commons.g]-[191] $j$: Set cookies for json call
